,index,ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle
7833,7838,2018-01-12 13:07:27+00:00,Windows 10 (10.0.16299; x64),0 days 00:00:00,The Pantaloon,Twenty One Pilots,Twenty One Pilots,spotify:track:6QOZWUCG5vq4xtU3mW2ZA2,appload,Unknown,False
7834,7839,2018-03-07 10:53:52+00:00,Windows 10 (10.0.16299; x64),0 days 00:01:38.839000,You Say Run,RichaadEB,You Say Run,spotify:track:5ts5zqn8DS1twwAdSapS8z,clickrow,Unknown,False
7835,7840,2018-03-07 10:54:22+00:00,Windows 10 (10.0.16299; x64),0 days 00:01:38.839000,You Say Run,RichaadEB,You Say Run,spotify:track:5ts5zqn8DS1twwAdSapS8z,clickrow,Unknown,False
7836,7841,2018-03-07 10:55:03+00:00,Windows 10 (10.0.16299; x64),0 days 00:01:38.839000,You Say Run,RichaadEB,You Say Run,spotify:track:5ts5zqn8DS1twwAdSapS8z,clickrow,Unknown,False
7837,7842,2018-06-19 17:13:42+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:58.026000,Everybody's Watching Me (Uh Oh),The Neighbourhood,I Love You.,spotify:track:0yyyapBjZ9Ek1vcpp3e9bj,clickrow,trackdone,False
7838,7843,2018-06-19 17:18:03+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:20.093000,One of Us,New Politics,One of Us,spotify:track:0xfhElZsAUya8MNSqFtkIR,trackdone,trackdone,False
7839,7844,2018-06-19 17:21:27+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:21.970000,Electric Feel,MGMT,Oracular Spectacular/Congratulations,spotify:track:0vaf64cpnqM7COUZZkoBig,trackdone,endplay,False
7840,7845,2018-06-19 17:25:23+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:57.026000,Take Me Out,Franz Ferdinand,Franz Ferdinand,spotify:track:6ooluO7DiEhI1zmK94nRCM,clickrow,trackdone,False
7841,7846,2018-06-19 17:29:32+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:08.554000,I'll Be Good,Jaymes Young,Habits of My Heart,spotify:track:5WLSak7DN3LY1K71oWYuoN,trackdone,trackdone,False
7842,7847,2018-06-19 17:34:43+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:27.149000,I'm Ready,AJR,Living Room,spotify:track:2dgFqylK6gyILa4HY65u0y,trackdone,fwdbtn,False
7843,7848,2018-06-19 17:38:43+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:01.202000,He Is The Same,Jon Bellion,The Human Condition,spotify:track:6Kr2WqO9jWYU64D24yqapu,fwdbtn,trackdone,False
7844,7849,2018-06-19 20:50:16+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:00.017000,Come with Me Now,KONGOS,Lunatic,spotify:track:2kWowW0k4oFymhkr7LmvzO,trackdone,unexpected-exit,False
7845,7850,2018-06-19 20:55:01+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:34.381000,Sun In My Face,Aso,Chillhop Essentials Spring 2017,spotify:track:0RAjCNWhdwWg4GMM9Auqyg,playbtn,trackdone,False
7846,7851,2018-06-19 20:57:27+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:27.374000,Ecstacy (Pay The Price),Flamingosis,Chillhop Essentials Spring 2017,spotify:track:132ppPHRAQoefAUP65fULU,trackdone,trackdone,False
7847,7852,2018-06-19 21:00:50+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:15.226000,Sleepyface,Birocratic,Beets 4,spotify:track:0J1vHScmNyuns9tMlcYvRy,trackdone,trackdone,False
7848,7853,2018-06-19 21:03:18+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:27.977000,Attila,Mono:Massive,Chillhop Essentials Spring 2017,spotify:track:2i2luf6v6y7J0jI3UPltIt,trackdone,trackdone,False
7849,7854,2018-06-19 21:05:15+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:03.870000,Spring Waltz,Saib,Chillhop Essentials Spring 2017,spotify:track:2UsmqmND0emL2u4YrMSzy4,trackdone,trackdone,False
7850,7855,2018-06-19 21:07:48+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:32.812000,Koi,Gyvus,Chillhop Essentials Spring 2017,spotify:track:4ZHGOx9QAUHegHgaufg2pO,trackdone,trackdone,False
7851,7856,2018-06-19 21:10:12+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:23.437000,You Should Have Known,Nymano,Chillhop Essentials Spring 2017,spotify:track:3HIvdhRKSx1XxLnNsUPVHy,trackdone,trackdone,False
7852,7857,2018-06-19 21:12:10+00:00,Windows 10 (10.0.17134; x64),0 days 00:01:49.858000,Cocktails,Limes,Chillhop Essentials Spring 2017,spotify:track:0z8iRyj1s7I4pYg0ieyZdO,trackdone,trackdone,False
7853,7858,2018-06-19 21:12:39+00:00,Windows 10 (10.0.17134; x64),0 days 00:00:28.839000,Sodium,Philanthrope,Chillhop Essentials Spring 2017,spotify:track:3WJWSbvJ5UeaoFAqO3Ulln,trackdone,fwdbtn,False
7854,7859,2018-06-19 21:14:58+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:17.370000,Colores,Juan Rios,Chillhop Essentials Spring 2017,spotify:track:27I1IeWE3brK3aRqgzseAP,fwdbtn,endplay,False
7855,7860,2018-06-19 21:18:53+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:58.026000,Everybody's Watching Me (Uh Oh),The Neighbourhood,I Love You.,spotify:track:0yyyapBjZ9Ek1vcpp3e9bj,clickrow,trackdone,False
7856,7861,2018-06-19 21:23:15+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:20.093000,One of Us,New Politics,One of Us,spotify:track:0xfhElZsAUya8MNSqFtkIR,trackdone,trackdone,False
7857,7862,2018-06-19 21:25:58+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:42.190000,Electric Feel,MGMT,Oracular Spectacular/Congratulations,spotify:track:0vaf64cpnqM7COUZZkoBig,trackdone,backbtn,False
7858,7863,2018-06-19 21:30:20+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:20.093000,One of Us,New Politics,One of Us,spotify:track:0xfhElZsAUya8MNSqFtkIR,backbtn,trackdone,False
7859,7864,2018-06-19 21:30:49+00:00,Windows 10 (10.0.17134; x64),0 days 00:00:29.796000,Electric Feel,MGMT,Oracular Spectacular/Congratulations,spotify:track:0vaf64cpnqM7COUZZkoBig,trackdone,fwdbtn,False
7860,7865,2018-06-19 21:30:51+00:00,Windows 10 (10.0.17134; x64),0 days 00:00:01.550000,Take Me Out,Franz Ferdinand,Franz Ferdinand,spotify:track:6ooluO7DiEhI1zmK94nRCM,fwdbtn,fwdbtn,False
7861,7866,2018-06-19 21:34:58+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:08.554000,I'll Be Good,Jaymes Young,Habits of My Heart,spotify:track:5WLSak7DN3LY1K71oWYuoN,fwdbtn,trackdone,False
7862,7867,2018-06-19 21:38:46+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:47.311000,I'm Ready,AJR,Living Room,spotify:track:2dgFqylK6gyILa4HY65u0y,trackdone,trackdone,False
7863,7868,2018-06-19 21:41:16+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:28.334000,He Is The Same,Jon Bellion,The Human Condition,spotify:track:6Kr2WqO9jWYU64D24yqapu,trackdone,endplay,False
7864,7869,2018-06-19 21:41:23+00:00,Windows 10 (10.0.17134; x64),0 days 00:00:07.060000,Come with Me Now,KONGOS,Lunatic,spotify:track:2kWowW0k4oFymhkr7LmvzO,clickrow,endplay,False
7865,7870,2018-06-19 21:45:17+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:53.560000,Redemption Song,Bob Marley & The Wailers,Uprising,spotify:track:21dOjdraFZffs2lnQObaiZ,clickrow,trackdone,False
7866,7871,2018-06-19 21:48:10+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:52.933000,One Love / People Get Ready,Bob Marley & The Wailers,Exodus,spotify:track:4OsZ1vrenrtSbqLJxOceKl,trackdone,trackdone,False
7867,7872,2018-06-19 21:52:02+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:52.200000,Is This Love,Bob Marley & The Wailers,Kaya,spotify:track:6M5cQCyieE1Q8YQydVLzxL,trackdone,trackdone,False
7868,7873,2018-06-19 21:56:12+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:06.936000,Jamming - Long Version,Bob Marley & The Wailers,Exodus,spotify:track:7aXv0Em3w0QsUG5DqpzCoI,trackdone,endplay,False
7869,7874,2018-06-19 21:58:07+00:00,Windows 10 (10.0.17134; x64),0 days 00:01:53.960000,Trois Gymnopédies: No. 1,Erik Satie,Satie - Gymnopedies and Beyond,spotify:track:2RuemJNZXFItaEefpnK7yC,clickrow,endplay,False
7870,7875,2018-06-19 22:01:58+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:52,"For River (From ""To The Moon"")",Michael Tai,"Piano/Instrumental Works: Video Game Themes, Vol. IV",spotify:track:7uuruscQsdEXsnXHpLzKyb,clickrow,trackdone,False
7871,7876,2018-06-19 22:05:32+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:34.425000,"Having Lived (From ""To The Moon"")",Michael Tai,"Piano/Instrumental Works: Video Game Themes, Vol. IV",spotify:track:22nsMbxdfbnfq9DvrXG68T,trackdone,trackdone,False
7872,7877,2018-06-19 22:09:41+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:08.740000,"Moonwisher (From ""To The Moon"")",Michael Tai,"Piano/Instrumental Works: Video Game Themes, Vol. IV",spotify:track:4Y15wYXmPaXzyE0ndrhssi,trackdone,trackdone,False
7873,7878,2018-06-19 22:14:10+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:28.230000,To The Moon Piano Suite: For River / Born a Stranger,Laura Platt,Reflections of Another World,spotify:track:4P0tklA67jn1l6N9TQuGu7,trackdone,trackdone,False
7874,7879,2018-06-19 22:18:51+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:40.925000,"Everything's Alright (From ""To The Moon"")",Michael Tai,"Piano Instrumental Works: Video Game Themes, Vol. V",spotify:track:7Cf4NRRLpNnSudV9kB8CSb,trackdone,trackdone,False
7875,7880,2018-06-19 22:36:51+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:48.940000,"Solaceon Town (Night) [From ""Pokémon Diamond & Pearl""]",Jonathan Aldrich,Video Game Variations JazzBlue Version,spotify:track:0fWUKsdzN4rdZe2QjZwZtd,clickrow,endplay,False
7876,7881,2018-06-19 22:39:47+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:57.253000,"Suite No. 1 in G Major for Solo Cello, BWV 1007: Prelude",If I Stay Cast,If I Stay (Original Motion Picture Soundtrack),spotify:track:16vHZ1TDH5R9zt7vwsgQVN,clickrow,trackdone,False
7877,7882,2018-06-19 23:54:45+00:00,Windows 10 (10.0.17134; x64),0 days 00:05:48.787000,"Romance for Violin and Orchestra in F Minor, Op. 11",Antonín Dvořák,Absolute Masterworks - Romantic,spotify:track:6MP66Ce8fNJ8CrQhHNGMGL,trackdone,endplay,False
7878,7883,2018-06-19 23:54:48+00:00,Windows 10 (10.0.17134; x64),0 days 00:00:02.280000,Hotline Miami II,Das Mörtal,Hotline Miami II,spotify:track:2qzbJyY0c4vzhXFlnRNCji,clickrow,endplay,False
7879,7884,2018-06-19 23:56:03+00:00,Windows 10 (10.0.17134; x64),0 days 00:01:13.860000,Admiring You Through the Blinds,Das Mörtal,Hotline Miami II,spotify:track:35Gkqy9aTbMNerterdWIp7,clickrow,endplay,False
7880,7885,2018-06-19 23:56:04+00:00,Windows 10 (10.0.17134; x64),0 days 00:00:01.880000,The Killing,Das Mörtal,Hotline Miami II,spotify:track:6N6p8sFsHoIXTpCLUlX3bo,clickrow,endplay,False
7881,7886,2018-06-20 00:00:19+00:00,Windows 10 (10.0.17134; x64),0 days 00:04:15.840000,Saru Wa Kikara Dokoe Ochiru,Hello Sleepwalkers,Masked Monkey Awakening,spotify:track:2F6xe9dMXC32vfyU0lRs2N,clickrow,trackdone,False
7882,7887,2018-06-20 00:03:10+00:00,Windows 10 (10.0.17134; x64),0 days 00:02:50.640000,Goya No Machiawase,Hello Sleepwalkers,Masked Monkey Awakening,spotify:track:5s0AxcVJJD2YYPstMb61ro,trackdone,trackdone,False
7883,7888,2018-06-20 00:06:36+00:00,Windows 10 (10.0.17134; x64),0 days 00:03:24.786000,Bloody Mary,Hello Sleepwalkers,Masked Monkey Awakening,spotify:track:0C8wXZmoGgIxGkRGPRpERv,trackdone,trackdone,False
